"Station","Latitude","Longitude"
"039002","-23.6528"," 150.6453"
"053003","-29.9182"," 149.7919"
"006023","-23.8222"," 113.5256"
"005013","-21.9964"," 115.0433"
"087045","-37.5151"," 144.0827"
"010638","-32.5228"," 118.3047"
"042027","-28.4872"," 149.4699"
"036046","-21.6291"," 145.1166"
"040486","-26.6061"," 152.4392"
"010510","-33.1642"," 116.7992"
"056055","-29.0211"," 151.6153"
"008109","-28.4767"," 115.7897"
"097021","-41.7953"," 145.4392"
"047039","-31.8153"," 141.2090"
"018099","-34.1317"," 135.7301"
"010547","-33.5167"," 116.8014"
"032027","-18.9331"," 145.6697"
"037098","-24.1068"," 143.1865"
"008104","-28.1544"," 114.6692"
"042004","-26.5047"," 150.0992"
"098012","-40.1192"," 143.9217"
"060031","-31.3363"," 152.7852"
"056033","-29.9546"," 151.2111"
"087008","-37.8076"," 144.4370"
"041037","-27.3072"," 151.8506"
"004016","-20.7867"," 118.5972"
"040145","-27.0625"," 152.7789"
"030048","-18.6242"," 144.5739"
"041376","-28.5389"," 151.3481"
"054023","-30.2948"," 150.8103"
"029131","-20.0200"," 139.8433"
"060033","-32.0927"," 152.2471"
"070084","-36.9325"," 148.9393"
"004038","-20.7483"," 118.8172"
"004006","-22.1828"," 119.9350"
"073050","-34.7611"," 148.8258"
"004008","-20.6392"," 119.2431"
"090036","-37.9695"," 141.3077"
"018057","-32.9916"," 135.5482"
"030127","-20.9942"," 144.6433"
"018005","-34.0586"," 135.5038"
"041024","-27.2067"," 151.8467"
"024509","-34.3515"," 139.1289"
"066120","-33.7617"," 151.1462"
"071021","-36.4818"," 148.5873"
"087033","-37.9910"," 144.4943"
"044070","-26.3750"," 147.0394"
"045006","-26.6694"," 143.2700"
"075047","-34.4928"," 145.2543"
"016022","-31.9955"," 134.8827"
"009609","-35.0183"," 117.5289"
"070054","-36.2001"," 149.0602"
"059047","-31.1802"," 152.9681"
"086039","-37.7915"," 144.9067"
"088044","-37.5100"," 145.7472"
"059024","-30.6437"," 152.9998"
"009594","-34.4350"," 119.3628"
"055045","-31.1791"," 150.0312"
"056022","-28.4622"," 152.3506"
"040123","-26.6225"," 152.8656"
"073036","-34.4998"," 147.8812"
"020025","-33.5009"," 139.5154"
